id,lamport,persona,obligationsApplied,promptHash,outputHash,violations,timestamp,version,userId,criesOmega,criesCoherence,criesRigor,criesIntegrity,criesEmpathy,criesStrictness,prompt,output,merkleSealId,createdAt,lockBatchId,conversationId,currDigest,exchangeId,model,policyFlags,prevDigest,receiptId,tokensIn,tokensOut,traceId,updatedAt,criesBaseline,criesCalculation,criesDeterminism,criesEvidence,criesSubMetrics,governanceMode
1,1,Auditor,"{transparency,accuracy}",aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,{},2025-11-06 08:46:37.666,speechcraft-v2,,0.65,0.7,0.8,0.75,0.65,0.7,Test prompt 1,Test output 1,,2025-11-06 08:46:37.666,,conv_test_1,,,,{},,rcpt_test_1,,,,2025-11-06 08:46:37.666,,,,,,
2,2,Witness,"{transparency,accuracy}",aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,{},2025-11-06 08:46:37.666,speechcraft-v2,,0.7,0.7,0.8,0.75,0.65,0.7,Test prompt 2,Test output 2,,2025-11-06 08:46:37.666,,conv_test_1,,,,{},,rcpt_test_2,,,,2025-11-06 08:46:37.666,,,,,,
3,3,Architect,"{transparency,accuracy}",aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,"{""test violation""}",2025-11-06 08:46:37.666,speechcraft-v2,,0.75,0.7,0.8,0.75,0.65,0.7,Test prompt 3,Test output 3,,2025-11-06 08:46:37.666,,conv_test_1,,,,{},,rcpt_test_3,,,,2025-11-06 08:46:37.666,,,,,,
4,4,Auditor,"{transparency,accuracy}",aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,{},2025-11-06 08:46:37.666,speechcraft-v2,,0.8,0.7,0.8,0.75,0.65,0.7,Test prompt 4,Test output 4,,2025-11-06 08:46:37.666,,conv_test_1,,,,{},,rcpt_test_4,,,,2025-11-06 08:46:37.666,,,,,,
5,5,Witness,"{transparency,accuracy}",aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,{},2025-11-06 08:46:37.666,speechcraft-v2,,0.85,0.7,0.8,0.75,0.65,0.7,Test prompt 5,Test output 5,,2025-11-06 08:46:37.666,,conv_test_1,,,,{},,rcpt_test_5,,,,2025-11-06 08:46:37.666,,,,,,
6,6,Architect,"{transparency,accuracy,fairness}",70726f6d70745f36000000000000000000000000000000000000000000000000,6f75747075745f36000000000000000000000000000000000000000000000000,{},2025-11-05 23:50:58.133,speechcraft-v2,,0.7479963936784356,0.6369163202330009,0.5082987274586348,0.8555400443556032,0.544753252473764,0.7956476295630025,Sample governance prompt for receipt 6,Sample governance output for receipt 6,,2025-11-05 23:50:58.133,,conv_demo_2,,,,{},,rcpt_demo_6,,,,2025-11-06 08:50:58.133,,,,,,
7,7,Auditor,"{transparency,accuracy,fairness}",70726f6d70745f37000000000000000000000000000000000000000000000000,6f75747075745f37000000000000000000000000000000000000000000000000,"{""Missing context""}",2025-11-06 00:50:58.133,speechcraft-v2,,0.5220086333081281,0.6721704270223136,0.7218918201600826,0.6348935005191257,0.7357975613705302,0.7745133447658603,Sample governance prompt for receipt 7,Sample governance output for receipt 7,,2025-11-06 00:50:58.133,,conv_demo_3,,,,{},,rcpt_demo_7,,,,2025-11-06 08:50:58.133,,,,,,
8,8,Witness,"{transparency,accuracy,fairness}",70726f6d70745f38000000000000000000000000000000000000000000000000,6f75747075745f38000000000000000000000000000000000000000000000000,"{""Bias detected"",""Insufficient evidence""}",2025-11-06 01:50:58.133,speechcraft-v2,,0.5287479684970713,0.7791729682146553,0.525195777988597,0.8549063616047521,0.756400936812397,0.813196737980691,Sample governance prompt for receipt 8,Sample governance output for receipt 8,,2025-11-06 01:50:58.133,,conv_demo_3,,,,{},,rcpt_demo_8,,,,2025-11-06 08:50:58.133,,,,,,
9,9,Architect,"{transparency,accuracy,fairness}",70726f6d70745f39000000000000000000000000000000000000000000000000,6f75747075745f39000000000000000000000000000000000000000000000000,{},2025-11-06 02:50:58.133,speechcraft-v2,,0.5301585753163751,0.5861870582054662,0.5318978908367029,0.8902709781573273,0.4253044327658256,0.7298367694704752,Sample governance prompt for receipt 9,Sample governance output for receipt 9,,2025-11-06 02:50:58.133,,conv_demo_3,,,,{},,rcpt_demo_9,,,,2025-11-06 08:50:58.133,,,,,,
10,10,Auditor,"{transparency,accuracy,fairness}",70726f6d70745f31300000000000000000000000000000000000000000000000,6f75747075745f31300000000000000000000000000000000000000000000000,"{""Contradictory statements""}",2025-11-06 03:50:58.133,speechcraft-v2,,0.3795129591603524,0.7703513204954074,0.8417251747790649,0.8903576911149154,0.7902968714584779,0.6107137424479561,Sample governance prompt for receipt 10,Sample governance output for receipt 10,,2025-11-06 03:50:58.133,,conv_demo_4,,,,{},,rcpt_demo_10,,,,2025-11-06 08:50:58.133,,,,,,
